91	0	12.6	9.5	31.5	2.4	-999
92	0.21	9	8.9	31.7	2.1	-999
93	0	8.5	9.1	31.4	2.7	-999
94	0.19	5.3	8.7	31.2	2.7	-999
95	0	7.7	8.4	31.1	1.5	-999
96	0.02	9.3	8.5	31.1	2.6	-999
97	0.7	6.9	8.4	30.8	2.4	-999
98	0	6.5	8	30.8	3.4	-999
99	0	8.3	8.7	30.7	3.8	-999
100	0	9.2	9.3	30.8	2.6	-999
101	0	10.5	9.9	30.9	4	-999
102	0	12.8	10.5	30.6	3.6	-999
103	0.21	11.3	9.8	30.9	3.1	-999
104	0	14.8	10.2	30.9	2.6	-999
105	0	14	10.7	30.9	3.5	-999
106	0	10.9	10.8	31	2.8	-999
107	0	13.4	11.3	31	2.4	-999
108	0	15.6	11.9	31	2.3	-999
109	0	16.7	12.2	31.1	2.3	-999
110	0	10.2	12.4	31	2.9	-999
111	1.14	8	11.4	31.3	5.8	-999
112	2.06	11.3	10.8	30.4	8.5	-999
113	0.14	9.9	11	30	8.4	-999
114	0	12.5	11.6	30.1	7.7	-999
115	0	8.7	11.6	30.3	6.8	-999
116	0	12.2	11.8	30.5	5.5	-999
117	0	11.2	12	30.6	3.8	-999
118	0	10.3	12.3	30.6	3.8	-999
119	0	11.8	12.4	30.7	4	-999
120	0	13	12.5	30.7	4.3	-999
121	0	11.9	12.8	30.6	4.2	-999
122	0.1	13.4	13	30.6	3	-999
123	0	14.9	13.6	30.5	4.7	-999
124	0	17.5	14.2	30.5	3.2	-999
125	0	16.4	14.8	30.4	3.3	-999
126	0	11.8	14.4	30.5	3.6	-999
127	0	13.2	14	30.5	3.5	-999
128	0	13.2	13.4	30.4	3.6	-999
129	0.03	13.5	13.2	30.3	4.1	-999
130	0	12.7	13	30.4	4	-999
131	0.88	14.1	13.2	30.2	6	-999
132	0	14.2	13.9	30.1	7.4	-999
133	0	12.2	14.3	30.1	8.7	-999
134	0.49	12.2	13.7	30	6.8	-999
135	0.84	13.7	13.6	29.7	6.1	-999
136	0	14.3	13.6	29.8	5.3	-999
137	0	15.3	14.1	29.9	4.5	-999
138	0.78	13.4	14.3	29.8	4.2	-999
139	0	15.3	14	29.7	4.6	-999
140	0.06	14.3	13.6	29.7	7	-999
141	0	12.5	13	29.8	9.4	-999
142	0	13.1	12.5	30.1	6.9	-999
143	0	15	12.2	30.8	4	-999
144	0	15.3	13.1	31	3.8	-999
145	0.29	15.5	13.6	30.9	3.4	-999
146	0	21.1	14.5	30.5	4.4	-999
147	0	20	16	30.4	4.8	-999
148	0	18.3	17.2	30.2	4.4	-999
149	0	20.1	17.4	30.5	3.3	-999
150	0	17.6	18.7	30.2	2.8	-999
151	0.29	19.1	19.1	30.1	2.9	-999
152	0.99	19.7	19.2	30.1	2.1	-999
153	0.97	17.7	19	29.5	2.3	-999
154	0.02	16	18.2	29.3	2.2	-999
155	0.08	17.4	17.9	29.4	2.2	-999
156	0	17.9	17.8	29.6	2.2	-999
157	0.93	15.5	17.6	29.4	2.2	-999
158	0.07	16	16.9	29.2	4	-999
159	0.19	17.9	17	29.4	4.5	-999
160	0	16.6	17.3	29.2	6.8	-999
161	0	16.8	16.4	29.5	9.5	-999
162	0	16.8	16.2	29.8	5.8	-999
163	0	20	17	30	4.2	-999
164	0	18	17.5	30.1	3.7	-999
165	0	21.5	17.6	30.1	3.4	-999
166	0	22	18	30.1	3.5	-999
167	0	20.7	17.7	30.2	4.1	-999
168	0	20.5	17.6	30.3	3.8	-999
169	0.05	20.4	18.1	30.3	3.6	-999
170	0	22	18.4	30.2	3.8	-999
171	0	21.2	17.5	30.4	3.2	-999
172	0	20.9	18.4	30.3	3.5	-999
173	0.25	21.6	17.9	30.3	3.2	-999
174	1	19.7	17.4	30.1	3.1	-999
175	0.49	20.6	17.6	29.6	3.3	-999
176	0	21.7	19.2	29.4	3	-999
177	0	22.8	20.6	29.3	3.2	-999
178	0.55	21.5	21.6	29.1	3.2	-999
179	0	21	22	29	3.5	-999
180	0	22.4	21.3	29.2	3.7	-999
181	0	21.7	20.7	29.4	4.6	-999
182	-999	-999	-999	-999	4.8	-999
